year,cumulative_CO2
2021,1723.7951357392176
2022,1760.8462288333199
2023,1798.1864515979748
2024,1835.8158040331825
2025,1873.734286138943
2026,1911.941897915256
2027,1950.438639362122
2028,1989.2245104795409
2029,2028.2995112675123
2030,2067.6636417260365
2031,2107.1579117924684
2032,2146.7823214668083
2033,2186.536870749056
2034,2226.421559639212
2035,2266.4363881372756
2036,2306.5813562432472
2037,2346.856463957127
2038,2387.2617112789144
2039,2427.79709820861
2040,2468.4626247462134
2041,2509.2020645432985
2042,2550.015417599866
2043,2590.902683915915
2044,2631.863863491446
2045,2672.8989563264586
2046,2714.007962420953
2047,2755.1908817749295
2048,2796.447714388388
2049,2837.778460261328
2050,2879.1831193937496
2051,2920.4562351915824
2052,2961.597807654826
2053,3002.6078367834803
2054,3043.4863225775453
2055,3084.2332650370213
2056,3124.848664161908
2057,3165.3325199522055
2058,3205.6848324079137
2059,3245.9056015290325
2060,3285.9948273155624
2061,3325.6274853995687
2062,3364.8035757810517
2063,3403.5230984600116
2064,3441.786053436448
2065,3479.592440710361
2066,3516.942260281751
2067,3553.835512150617
2068,3590.27219631696
2069,3626.25231278078
2070,3661.775861542076
2071,3696.554555755862
2072,3730.588395422138
2073,3763.8773805409037
2074,3796.4215111121594
2075,3828.2207871359046
2076,3859.27520861214
2077,3889.584775540865
2078,3919.1494879220795
2079,3947.969345755784
2080,3976.0443490419784
2081,4003.160093061648
2082,4029.316577814792
2083,4054.513803301411
2084,4078.7517695215047
2085,4102.030476475074
2086,4124.3499241621175
2087,4145.710112582636
2088,4166.111041736629
2089,4185.552711624097
2090,4204.03512224504
2091,4221.926912633902
2092,4239.228082790683
2093,4255.938632715383
2094,4272.058562408003
2095,4287.587871868542
2096,4302.526561097
2097,4316.874630093377
2098,4330.632078857673
2099,4343.798907389889
2100,4356.375115690023
